,sentence,label,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
10,"وتعهد ترامب بدعم منافسين لماكونيل في الانتخابات التمهيدية للحزب الجمهوري عندما يكون الأمر مواتيا، إضافة إلى دعم مرشحي الحزب ممن يعملون بأجندة ""أميركا أولا"" التي رفعها. وأضاف ماكونيل أن ""هؤلاء المجرمين كانوا يحملون راياته، يعلقون أعلامه ويصرخون بالولاء له""، واصفا تصرفات ترامب التي أدت إلى ذلك الاعتداء بأنها ""تقصير مشين في أداء الواجب"".",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.0284984311156242e-07,7.465163602516144e-07,2.6128406868004822e-08,2.413923880769476e-07,9.71513720668652e-09,2.8379415863634406e-07,5.60094963993107e-08,1.74402977001872e-08,1.4167783661289178e-07,9.291090764681454e-08,4.102908895301112e-07,3.189763244813528e-08,1.1287163547649684e-07,1.213559272407882e-07,5.9247924070285316e-08,1.1736220217426733e-05,3.2014441198405864e-08,0.9951243666604571,0.004859943175207574,2.281482447297082e-08,1.1586205841310812e-06,5.52109226162411e-08,1.2054893519724547e-07,2.4023180526166296e-08,5.545444862435444e-08,3.115793990268224e-08
11,ورغم ذلك فإن ماكونيل قال إنه صوت لتبرئة ترامب من تهمة التحريض على التمرد، لأنه من غير الدستوري برأيه أن يحاكم رئيس في مجلس الشيوخ بعد تركه منصبه. ويعكس هذا الطلاق العلني بين الرجلين الانقسامات العميقة التي يتخبط فيها الحزب الجمهوري حاليا.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.2566046436893927e-10,2.7407408407765826e-08,9.534961924120744e-10,8.473804633036026e-09,7.67635167621257e-10,1.1317820275226265e-08,1.0632265567750385e-09,1.0995811014114155e-10,4.608682845679019e-09,2.110992078254436e-09,2.7723967062402103e-09,7.701003691680583e-10,1.7412072301827938e-09,5.7526929738393445e-09,4.3127177522063776e-10,2.646227377616093e-07,9.978859044543942e-10,0.9999193918406384,7.99249952920873e-05,2.485351394089331e-10,2.9785113142915444e-07,1.284801338715692e-09,4.669412058531306e-08,7.620876398995992e-10,1.6792804278794117e-09,3.1713538842363285e-10
12,"وأكد تومسون في شكواه -التي قدمها لمحكمة فدرالية في واشنطن- أن الهجوم على الكابيتول -الذي أدى إلى مقتل 5 أشخاص- نشأ من ""مشروع مشترك كان المتهمون يواصلون (العمل عليه) منذ الانتخابات"" الرئاسية التي أجريت في 3 نوفمبر/تشرين الثاني 2020.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.0701123746175992e-09,3.0386688744097936e-08,6.330438169109617e-10,1.022978897492645e-08,6.04267454750406e-10,4.222950659739555e-09,1.049309487226189e-09,8.87651137650121e-11,1.1779912026226514e-08,2.0127190801378423e-09,1.8113820042282005e-09,3.2432243732439614e-09,2.5577175921466647e-09,7.174695561435718e-09,1.7376396094106904e-09,5.350966217132444e-07,2.0461703891570062e-10,0.9994408910371401,0.0005582676847930267,2.927650480363276e-10,2.0333670014147368e-07,3.95143381147281e-09,1.7335964370246468e-08,5.960349268208816e-10,1.373119050669137e-09,4.885939046720629e-10
13,"وتعرض الرئيس الصيني شي جين بينغ لانتقادات عالمية لاحتجازه أقلية الإيغور في معسكرات اعتقال، بالإضافة إلى انتهاكات أخرى لحقوق الإنسان. وقال بايدن بعد إلحاح عليه بشأن القضية خلال اللقاء ""حسنا، ستكون هناك تداعيات على الصين وهو يعلم ذلك""، في إشارة إلى الرئيس الصيني.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.75254831404945e-09,4.759745633613961e-08,1.877128066561729e-09,1.3317842886758976e-08,2.7296495348926655e-09,9.793683571818896e-09,1.5234391565274706e-09,3.0488922318444974e-10,2.284012368444873e-08,3.4685391258320372e-09,1.1928398157356817e-08,2.2476980802786396e-09,1.8674883289393127e-08,1.4938986271603233e-08,1.7490828695384643e-09,9.312164382743002e-07,7.234722666217984e-10,0.9895166272993186,0.010481931115793625,1.8995019959254383e-09,3.3556780348767705e-07,4.566804278916015e-09,8.238906381123247e-09,4.207657785096095e-10,5.641054982266912e-10,6.427412373965951e-10
14,"وعبر بايدن أيضا عن قلقه بشأن الممارسات التجارية ""القسرية وغير العادلة"" التي تقوم بها بكين، وبشأن قضايا حقوقية مثل حملتها في هونغ كونغ واعتقالات شينجيانغ وغيرها من الإجراءات في آسيا، بما في ذلك تجاه تايوان التي تقول الصين إنها جزء من أراضيها.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.985447739518388e-09,1.087770630045218e-08,3.332810188385046e-10,3.1435941313547927e-09,3.997715321797995e-10,5.4499657573311e-09,1.0969014074281026e-09,1.6373366929745338e-10,1.1508897205974624e-08,1.7948410548485892e-09,6.508477369466651e-09,2.368272699046332e-09,3.556769507040894e-09,8.519340744139791e-09,7.082242676732656e-10,3.4190869147416786e-07,1.7601244820812305e-09,0.9994546713420984,0.0005445114143043618,3.9609310150212115e-10,3.9152394090052276e-07,1.6668618592062455e-09,1.9629471425176173e-08,3.1725490742141015e-10,1.4089471297468004e-09,2.1698737544766269e-10
15,ويحتدم الخلاف بين البلدين بشأن عدة قضايا، مثل التكنولوجيا وحقوق الإنسان والأنشطة العسكرية الصينية في منطقة بحر جنوب الصين المتنازع عليها، حيث يتبادل البلدان الاتهامات بتعمد انتهاج سلوك استفزازي.,JAZ,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,4.756156241190084e-05,7.25572725907062e-05,2.1800888475927223e-06,0.0002197576146441685,2.0014541373588627e-05,0.00012351584784153487,0.0003275927818854067,1.3013906515122749e-05,0.0007955639505969727,4.4016331874438e-05,0.00021589178867112348,0.009373577387867144,9.415409841647376e-06,0.0014633985539209869,0.00021172095696694908,0.000549416242590529,1.3743393465215018e-05,0.00018959863073779166,0.9065664583964369,2.4976142162211515e-07,0.07800082260425584,0.0010823148271825002,0.0005875164692170693,1.0693691706566496e-05,5.5974954979214586e-05,3.4330321574771007e-06
16,"فقد أراد حزب ""الجمهوريون"" اليميني حظر الحجاب في الجامعات، وقال دايمان أباد زعيم الكتلة البرلمانية للحزب التي صوتت بشبه إجماع ضد المشروع إن النص ""فاتر ومائع""، ولا يتطرق إلى مواضيع مثل ""تدفق المهاجرين والتطرف في الجامعات والمدارس والسجون والرياضة"".",JAZ,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.1496606912463263e-06,2.2112851403245243e-05,1.8690893777037422e-07,3.6192857927155446e-06,1.4160377038926277e-07,1.9919399801687994e-06,1.0985093449806392e-06,7.13596257830411e-08,2.7119631849675144e-06,1.3492273605554737e-06,2.7364508556855136e-06,1.4737855640007294e-05,1.2067171737195532e-06,2.7517875505292813e-05,1.6364578005571888e-06,0.00014995535815324275,1.1854311679587466e-07,0.0825811214361637,0.9166985544473312,4.30735731748766e-08,0.0004816437899024916,3.2571601082156203e-06,2.010705615152355e-06,3.281407236108812e-07,5.403628523763449e-07,1.5831539304501696e-07
17,"ويجرم النص النزعات ""الانعزالية""، ويفرض رقابة صارمة على أنشطة الجمعيات الدينية والثقافية، كما يشدد على مبدأ ""الحياد الديني"" لموظفي القطاع العام. ومن المقرر أن يحال القانون إلى النقاش في مجلس الشيوخ في أبريل/نيسان المقبل.",JAZ,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.7425428973300417e-08,9.924732719294973e-07,5.496218114839596e-09,2.3674037484995118e-07,6.580927598201939e-09,6.617924031342874e-08,2.395156922762273e-08,2.200773803518577e-09,4.6539158598775915e-07,1.3687111335010885e-08,1.4049383123408164e-07,1.1093301688931024e-07,1.441853737706487e-07,6.751963371640875e-07,1.4660113827423012e-07,1.7811083867520282e-05,6.9832191629010305e-09,0.01407396225036508,0.9858986218254455,8.730278603412592e-09,6.038423692021375e-06,3.5880288048338786e-07,9.891792358944506e-08,1.1134041596317259e-08,1.61342003675695e-08,8.177886737201342e-09
18,وتابعت أنه بمجرد أن تصبح واشنطن وطهران طرفين في الاتفاق مرة أخرى فسيكون فريق بايدن في وضع يسمح له بالنهوض ببنود أخرى من جدول الأعمال مع طهران، وتحديدا الإجراءات التي يتخذانها في اليمن وأماكن أخرى في المنطقة التي تثير القلق في دول مثل المملكة العربية السعودية.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,3.653950226019508e-10,1.0601606922616109e-08,6.987780390481221e-10,1.9334265796918468e-09,1.4238334552667887e-09,6.896676584417382e-10,9.67836400124632e-11,4.6442321538929617e-11,2.2858845247472723e-08,1.7755286218496363e-09,1.3137915271480385e-09,3.3264726123916343e-10,2.4177303437458923e-09,1.8269624364479752e-09,5.42901775741387e-10,2.860871465548216e-07,5.340100623096625e-11,0.9999624750437606,3.712395467974048e-05,1.3514172060928655e-10,6.50550894440318e-08,3.0429427500463615e-10,1.8991946142021912e-09,6.596079950222518e-11,1.9278781100785733e-10,2.842026221424922e-10
19,"واعتبر الموقع أنه من المفارقة أن عبادي ذكر سببا آخر مفاجئا وهو أن الخليج سيصبح -وفقا لتوقعاته- ""ملاذا آمنا"" لليهود الفارين من معاداة السامية المتزايدة في الغرب، وذلك بالنظر للحوادث المتعلقة بمعاداة السامية في أوروبا والولايات المتحدة والتي قال إن أعدادها في تزايد.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.727199864284312e-08,1.4677940597168883e-07,2.082873414059723e-08,2.444927005257699e-07,1.7137046052656926e-08,2.3061070991370303e-08,5.40360577357341e-09,1.8167771938131898e-09,1.1205911237285801e-07,5.542072525826433e-08,5.638051958648365e-08,1.4579128858213662e-08,3.3986819058845494e-08,6.292066650561466e-08,1.1469281885602351e-08,0.001516888913067385,1.4522948043073086e-09,0.9983548054820169,0.00012680157868188896,2.6795259542002855e-09,5.446769587214125e-07,1.608750235588287e-08,8.948919781492558e-08,3.624761067680179e-09,1.0307521968866689e-08,2.100878300783033e-09
20,"وقال نونو لهيئة البث ""الهدف هو توحيد موارد المجتمعات، مثل طعام الكوشر الحلال (وفق الشريعة اليهودية) وكذلك المساعدات الدينية، والدفن وغيرها من الأمور"". وكانت الإمارات والبحرين قد وقعتا العام الماضي اتفاقيتين من أجل تطبيع العلاقات مع إسرائيل.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,7.219103900066976e-09,2.884950499575318e-08,6.310569067745868e-10,8.468436637491664e-09,6.862055458612554e-10,1.7415230298054878e-08,6.824370115661718e-09,4.825288376175007e-10,1.7512871252352117e-08,1.0799621511797747e-09,7.369966717973092e-09,1.3043664706828025e-08,4.657702857643323e-09,2.0267472604499215e-08,8.878991582548182e-09,3.873711417561047e-07,6.044643446923652e-09,0.9999799809976865,1.727769824439148e-05,4.1653914348631625e-10,2.159498357628612e-06,1.292354345945172e-08,2.904393338434264e-08,4.0389474091869177e-10,1.878836479756894e-09,3.361099227249065e-10
21,جاء ذلك في أول اجتماع لمجلس الوزراء في العام الجاري. وكان الجانبان قد وقعا في البيت الأبيض منتصف سبتمبر/أيلول الماضي اتفاقية لتطبيع العلاقات، برعاية الرئيس الأميركي السابق دونالد ترامب.,JAZ,Gulf,MUS,Oman,Muscat,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,2.0022699595961747e-06,1.010327797895818e-05,2.1933812911567018e-07,1.2724616625460747e-05,3.7983697191241266e-06,3.6605351251203936e-06,3.5079662215527473e-06,6.410525063740687e-07,2.030094495391228e-05,8.623388850948801e-06,9.09848754036938e-06,6.425101377892926e-05,5.821703264507451e-07,0.0002665826006700734,7.115502004540119e-06,0.003977678976835995,2.754995935540343e-07,0.008768384405923396,0.9700064079623184,5.986014554504787e-08,0.016795708085176695,7.74295069565062e-06,2.7817791230751025e-05,4.6762195478127264e-07,1.7749779658708892e-06,4.7033376887887394e-07
22,وقال مستشار الأمن القومي الأميركي جيك سوليفان -في بيان صدر اليوم الأحد- إنه أخبر نظيره الإسرائيلي مائير بن شبات في اتصال هاتفي جرى أمس، أن إدارة الرئيس جو بايدن ستعمل عن كثب مع إسرائيل بشأن الأمن وتطبيع العلاقات في الشرق الأوسط.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.442802745769949e-07,5.509584328527912e-06,1.931280811358017e-08,1.865307712995445e-06,1.7069708648824097e-08,4.571961319970249e-08,6.2801872425224675e-09,7.809274800427029e-08,7.262675017885799e-07,7.317792219582853e-08,3.8783217949317653e-07,1.0287706010685135e-06,3.034378729795251e-08,3.554543425594927e-07,7.270034987372463e-07,6.354775011916296e-05,1.7669784811590882e-09,0.996646575684211,0.0032746258281214314,2.5644333023496663e-09,3.941729155294665e-06,1.1696297125134025e-07,1.1726343931757879e-07,1.7926990250736626e-09,5.0447091209577584e-08,3.7135663208422355e-09
23,وأشار مراسل الجزيرة في واشنطن أحمد هزيم إلى شهادة وزير الخارجية الأميركي الجديد أنتوني بلينكن أمام مجلس الشيوخ ضمن إجراءات المصادقة على تعيينه، حيث قال إن الإدارة الجديدة ستعمل ببطء لإعادة بناء الثقة بين طرفي النزاع، لتصل بعد ذلك إلى خطة أو مقترح لإطلاق المفاوضات.,JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,1.1710037778434714e-09,8.809029684214287e-08,4.9122976037348025e-09,3.1603242754564215e-09,3.6289767987695276e-10,8.037676766657806e-10,2.691147800185737e-10,5.373637862436157e-10,2.25481351335125e-09,1.1072138552108957e-09,3.965829534406831e-09,2.678903001956171e-10,2.1735567121760633e-09,4.005407546576342e-09,3.186279720263751e-10,2.6108653795004698e-05,7.359196601572046e-11,0.9998705443209799,0.00010319140588316401,1.6134610700001098e-10,3.960405262573222e-08,9.295975946757971e-10,1.237592998804961e-09,4.4628262747992464e-11,7.419835063793601e-11,9.392825804589846e-11
24,"وتنقل الصحيفة الفرنسية عن الروائي الجزائري محمد مولسهول (المشهور بياسمينة خضرا) قوله إن الجزائر ""كانت تستحق مصيرا أفضل من هذا""، داعيا إلى إطلاق سراح جميع معتقلي الرأي القابعين في السجون.",JAZ,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,Modern Standard Arabic,9.40276936662404e-10,2.71768140596972e-08,3.838529413895816e-10,2.520368585997063e-09,2.1721811279065244e-10,1.4110368566477244e-09,4.328897504077945e-10,2.4501534905868094e-10,1.4870501417601375e-09,1.536785725477029e-09,2.8722998490120982e-09,6.984037561495341e-10,2.0243077330951742e-09,6.920354584774651e-09,7.080261870837184e-10,5.275439106173691e-07,9.818614291471193e-11,0.999674159967535,0.0003248381832399108,3.8245340109569535e-11,4.170840671200949e-07,2.215440412340116e-09,4.780735909314829e-09,1.4466816617569538e-10,2.3095738277622468e-10,1.383136290827878e-10
